gpuName,m1,m2,m3,m4,m5,G3Dmark,G2Dmark,price,TDP
NVIDIA GeForce RTX 3060,6.27,9.92,5.04,5.29,4.98,16958,951,329,170
NVIDIA GeForce GTX 1650,4.78,3.63,4.76,4.69,4.67,7807,592,209,75
NVIDIA GeForce RTX 3060 Laptop GPU,3.83,2.74,3.94,3.48,3.86,12674,551,479.99,115
NVIDIA GeForce GTX 1060,4.69,5.09,4.32,3.87,3.68,10070,762,279.99,120
NVIDIA GeForce RTX 2060,4.69,6.07,3.71,3.70,3.50,13953,752,389.99,160
NVIDIA GeForce RTX 3060 Ti,4.04,4.95,3.54,3.51,3.44,20206,961,599.99,200
NVIDIA GeForce RTX 3070,3.62,5.18,3.23,3.34,3.13,22093,969,719.99,220
NVIDIA GeForce GTX 1050 Ti,3.12,2.44,2.99,2.84,2.80,6314,651,189.42,75
NVIDIA GeForce GTX 1660 SUPER,2.54,2.19,2.47,2.38,2.30,12732,823,329.99,125
NVIDIA GeForce RTX 3080,2.16,2.64,2.21,2.24,2.17,24853,1003,999,320
NVIDIA GeForce GTX 1660 Ti,1.86,1.52,1.81,1.77,1.77,11794,702,349.99,120
NVIDIA GeForce RTX 3070 Ti,1.53,1.91,1.50,1.50,1.47,23367,1003,749.99,290
NVIDIA GeForce GTX 1050,1.52,1.15,1.43,1.41,1.38,5090,475,203.1,75
NVIDIA GeForce GTX 1070,1.41,1.21,1.50,1.40,1.36,13482,857,342.55,150
NVIDIA GeForce RTX 2070 SUPER,1.40,1.41,1.35,1.36,1.31,18168,896,613.8,215
NVIDIA GeForce RTX 2060 SUPER,1.47,1.73,1.24,1.24,1.21,16514,881,528.89,175
NVIDIA GeForce GTX 1660,1.45,1.78,1.07,1.08,1.00,11695,796,399.99,120
AMD Radeon RX 580,0.95,0.74,1.01,0.97,0.96,8907,772,349,185
NVIDIA GeForce RTX 2070,1.18,1.56,0.98,1.01,0.93,16079,833,627.44,175
NVIDIA GeForce GTX 1080,0.91,0.84,0.92,0.90,0.88,15265,890,442.79,180
NVIDIA GeForce RTX 3080 Ti,0.79,0.68,0.85,0.83,0.83,26887,1031,1199.99,350
AMD Radeon RX 6700 XT,0.64,0.53,0.74,0.75,0.76,18993,1014,529.99,230
NVIDIA GeForce RTX 3050 Laptop GPU,0.76,0.54,0.75,0.67,0.74,9037,416,379.99,80
AMD Radeon RX 570,0.70,0.53,0.73,0.69,0.69,1923,750,279.99,120
AMD Radeon RX 5700 XT,0.63,0.50,0.68,0.68,0.68,16892,955,694.94,225
NVIDIA GeForce GTX 1080 Ti,0.58,0.48,0.64,0.61,0.61,18284,934,604.15,250
NVIDIA GeForce RTX 3090,0.54,0.49,0.60,0.59,0.61,26395,999,1749.99,350
NVIDIA GeForce GTX 1650 SUPER,0.59,0.45,0.58,0.57,0.55,10032,761,441.05,100
NVIDIA GeForce GTX 970,0.52,0.40,0.54,0.53,0.51,9688,781,237.99,145
NVIDIA GeForce RTX 2080 SUPER,0.54,0.64,0.52,0.53,0.51,19519,934,683.99,250
NVIDIA GeForce GT 1030,0.51,0.37,0.50,0.48,0.47,2545,449,109.99,30
NVIDIA GeForce RTX 2080,0.47,0.50,0.46,0.45,0.46,18732,917,633.03,250
NVIDIA GeForce GTX 960,0.54,0.46,0.49,0.46,0.45,6042,671,172,120
NVIDIA GeForce GTX 1070 Ti,0.49,0.47,0.48,0.44,0.42,14500,877,389,180
NVIDIA GeForce GTX 750 Ti,0.50,0.37,0.44,0.42,0.42,3919,498,88.11,60
NVIDIA GeForce RTX 2080 Ti,0.40,0.33,0.43,0.42,0.41,21796,940,998.59,250
AMD Radeon RX 6600 XT,0.38,0.32,0.41,0.39,0.39,15853,1003,399.99,160
AMD Radeon RX 6800 XT,0.31,0.23,0.34,0.34,0.34,23364,1078,859,300
AMD Radeon RX 550,0.33,0.26,0.34,0.33,0.33,2718,484,157.74,50
NVIDIA GeForce GT 730,0.35,0.24,0.32,0.31,0.30,812,238,109.99,49
AMD Radeon RX 6750 XT,0.24,0.19,0.28,0.29,0.30,18993,1014,529.99,230
AMD Radeon RX 6650 XT,0.23,0.19,0.28,0.28,0.30,18993,1014,529.99,230
AMD Radeon RX 6900 XT,0.23,0.18,0.26,0.24,0.24,25458,1102,1120.31,300
AMD Radeon RX 5600 XT,0.24,0.17,0.24,0.23,0.24,13836,914,545,150
AMD Radeon RX 5500 XT,0.20,0.16,0.21,0.21,0.21,9188,824,449,130
NVIDIA GeForce GTX 960M,0.20,0.15,0.20,0.21,0.20,3419,245,1169,65
NVIDIA GeForce GT 710,0.20,0.15,0.20,0.19,0.19,637,214,102.99,25
