name,m_0,m_1,m_2,m_3,m_4,m_5,m_6,m_7,m_8,m_9,m_10,m_11,m_12,m_13,m_14,m_15,m_16,m_17,m_18,m_19,m_20,m_21,m_22,m_23,m_24,m_25,m_26,m_27,m_28,m_29,m_30,m_31,m_32,m_33,m_34,m_35,m_36,m_37,m_38,m_39,m_40,m_41,m_42,m_43,m_44,m_45,m_46,m_47,m_48,m_49,m_50,m_51,m_52,m_53,m_54,m_55,m_56,m_57,m_58,m_59,m_60,m_61,m_62,m_63,m_64,m_65,m_66,m_67,m_68,m_69,m_70,m_71,m_72,m_73,m_74,m_75,m_76,m_77,m_78,m_79
NVIDIA GeForce GTX 1060,8.18,7.15,7.17,7.02,6.6,6.94,7.62,5.77,5.28,5.28,7.85,4.99,4.58,4.6,4.31,4.69,4.32,3.87,3.68,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NVIDIA GeForce GTX 1650,6.08,6.48,6.45,6.51,6.24,6.32,5.61,6.27,6.27,6.12,4.04,6.19,5.67,5.3,5.11,4.78,4.76,4.69,4.67,4.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NVIDIA GeForce GTX 1050 Ti,5.53,5.63,5.62,5.36,4.99,4.91,4.39,4.6,4.35,4.09,3.15,4.05,3.61,3.5,3.26,3.12,2.99,2.84,2.8,2.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NVIDIA GeForce RTX 2060,5.62,5.09,5.08,5.03,5.02,5.19,6.1,4.64,4.37,4.63,8.05,4.45,4.15,4.1,3.94,4.69,3.71,3.7,3.5,4.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NVIDIA GeForce RTX 3060 Laptop GPU,2.22,2.66,2.68,2.99,3.39,4.0,3.39,4.63,4.47,4.78,3.1,4.51,4.28,3.76,4.29,3.83,3.94,3.48,3.86,3.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NVIDIA GeForce GTX 1050,2.87,2.99,2.85,2.81,2.57,2.45,2.18,2.4,2.27,2.08,1.38,2.04,1.78,1.75,1.63,1.52,1.43,1.41,1.38,1.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NVIDIA GeForce GTX 1660 Ti,2.71,2.8,2.81,2.66,2.55,2.57,2.28,2.46,2.37,2.33,1.79,2.25,2.09,2.02,2.13,1.86,1.81,1.77,1.77,1.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NVIDIA GeForce RTX 3060,2.48,2.18,2.36,2.62,3.24,3.52,5.47,3.41,3.67,4.36,10.67,4.66,4.74,4.88,4.87,6.27,5.04,5.29,4.98,6.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NVIDIA GeForce GTX 1660 SUPER,2.45,2.37,2.48,2.42,2.46,2.52,2.34,2.41,2.5,2.52,2.36,2.69,2.62,2.56,2.57,2.54,2.47,2.38,2.3,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NVIDIA GeForce GTX 1070,2.35,2.21,2.39,2.13,2.03,1.97,1.88,1.89,1.76,1.69,1.39,1.61,1.51,1.59,1.52,1.41,1.5,1.4,1.36,1.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
