Product,Type,Release Date,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),Foundry,Vendor,FP16 GFLOPS,FP32 GFLOPS,FP64 GFLOPS,percent
Intel Xeon E3-1275,GPU,2011-04-03,32.0,95.0,216.0,1160.0,100.0,Intel,Intel,,,
Matrox Parhelia 128 MB,GPU,2002-06-25,150.0,,174.0,80.0,200.0,UMC,Other,,,
NVIDIA GeForce MX150 GP107,GPU,2019-02-23,14.0,25.0,132.0,3300.0,1469.0,Samsung,NVIDIA,18.38,1177.0,36.77
Intel GMA 500,GPU,2008-03-02,130.0,,,,200.0,Intel,Intel,,12.8,
ATI Radeon HD 4350 AGP,GPU,2008-09-30,55.0,20.0,73.0,242.0,600.0,TSMC,ATI,,96.0,
NVIDIA GeForce 7100 GS,GPU,2006-08-08,110.0,,110.0,75.0,350.0,TSMC,NVIDIA,,,
ATI Radeon X700 AGP,GPU,2004-09-01,110.0,44.0,156.0,120.0,400.0,TSMC,ATI,,,
NVIDIA GeForce 6800 XT,GPU,2005-09-30,130.0,,225.0,222.0,425.0,TSMC,NVIDIA,,,
ATI Radeon HD 2900 PRO,GPU,2007-12-12,80.0,200.0,420.0,720.0,600.0,TSMC,ATI,,384.0,
NVIDIA ION,GPU,2008-06-03,65.0,20.0,144.0,314.0,450.0,Unknown,NVIDIA,,35.2,
Intel UHD Graphics 630,GPU,2020-04-30,14.0,15.0,,,350.0,Intel,Intel,921.6,460.8,115.2
AMD Wii U GPU,GPU,2012-11-18,40.0,33.0,146.0,880.0,550.0,Renesas,AMD,,176.0,
AMD Radeon RX 6800,GPU,2020-10-28,7.0,250.0,520.0,26800.0,1700.0,TSMC,AMD,32330.0,16170.000000000002,1010.0
Intel HD Graphics,GPU,2013-04-29,22.0,45.0,,,200.0,Intel,Intel,,136.0,34.0
NVIDIA GeForce GTX 760 OEM,GPU,2013-06-27,28.0,130.0,294.0,3540.0,823.0,TSMC,NVIDIA,,2045.9999999999998,85.25
