,Product,Type,Release Date,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),Foundry,Vendor,FP16 GFLOPS,FP32 GFLOPS,FP64 GFLOPS,percent
0,AMD Radeon RX 570,GPU,2017-04-18,14.0,150.0,232.0,5700.0,1168.0,GF,AMD,5095.0,5095.0,318.5,0.716
1,NVIDIA GeForce RTX 2080 SUPER,GPU,2019-07-23,12.0,250.0,545.0,13600.0,1650.0,TSMC,NVIDIA,22300.0,11150.0,348.5,0.562
2,NVIDIA GeForce GTX 1050 Ti,GPU,2016-10-25,14.0,75.0,132.0,3300.0,1291.0,Samsung,NVIDIA,33.41,2138.0,66.82,3.186
3,AMD Radeon RX 5700 XT,GPU,2019-07-07,7.0,225.0,251.0,10300.0,1605.0,TSMC,AMD,19510.0,9754.0,609.6,0.62
4,NVIDIA GeForce GT 1030,GPU,2017-05-17,14.0,30.0,74.0,1800.0,1228.0,Samsung,NVIDIA,17.62,1127.0,35.23,0.534
5,NVIDIA GeForce RTX 2060,GPU,2019-01-07,12.0,160.0,445.0,10800.0,1365.0,TSMC,NVIDIA,12900.0,6451.0,201.6,4.59
6,NVIDIA GeForce GTX 1070 Ti,GPU,2017-11-02,16.0,180.0,314.0,7200.0,1607.0,TSMC,NVIDIA,127.9,8186.0,255.8,0.476
7,AMD Radeon Vega 8,GPU,2018-02-12,14.0,65.0,210.0,4940.0,300.0,GF,AMD,2253.0,1126.0,70.4,0.652
8,NVIDIA GeForce RTX 3070 Ti,GPU,2021-01-01,8.0,200.0,392.0,17400.0,1575.0,Samsung,NVIDIA,21750.0,21750.0,339.8,1.564
9,NVIDIA GeForce GTX 1080,GPU,2016-05-27,16.0,180.0,314.0,7200.0,1607.0,TSMC,NVIDIA,138.6,8873.0,277.3,0.932
10,AMD Radeon Graphics 512SP,GPU,2020-03-07,7.0,15.0,156.0,9800.0,400.0,TSMC,AMD,3584.0,1792.0,112.0,1.9
11,NVIDIA GeForce RTX 2070,GPU,2018-10-17,12.0,175.0,445.0,10800.0,1410.0,TSMC,NVIDIA,14930.0,7465.0,233.3,1.17
12,AMD Radeon RX 550,GPU,2017-04-20,14.0,50.0,103.0,2200.0,1100.0,GF,AMD,1211.0,1211.0,75.71,0.346
13,AMD Radeon RX 6800 XT,GPU,2020-10-28,7.0,300.0,520.0,26800.0,1825.0,TSMC,AMD,41470.0,20740.0,1296.0,0.29
14,AMD Radeon RX 6700 XT,GPU,2021-03-03,7.0,230.0,335.0,17200.0,2321.0,TSMC,AMD,26430.0,13210.0,825.9,0.61
15,NVIDIA GeForce RTX 3090,GPU,2020-09-01,8.0,350.0,628.0,28300.0,1395.0,Samsung,NVIDIA,35580.0,35580.0,556.0,0.552
16,AMD Radeon Vega 3,GPU,2019-11-20,14.0,15.0,210.0,4940.0,300.0,GF,AMD,844.8,422.4,26.4,0.372
17,AMD Radeon RX 6700,GPU,2021-01-01,7.0,180.0,335.0,17200.0,1489.0,TSMC,AMD,20740.0,10370.0,648.0,0.216
18,NVIDIA GeForce RTX 2080 Ti,GPU,2018-09-20,12.0,250.0,754.0,18600.0,1350.0,TSMC,NVIDIA,26900.0,13450.0,420.2,0.41
19,AMD Radeon RX 5600 XT,GPU,2020-01-21,7.0,150.0,251.0,10300.0,1130.0,TSMC,AMD,14380.0,7188.0,449.3,0.23
20,AMD Radeon RX 5500 XT,GPU,2019-12-12,7.0,130.0,158.0,6400.0,1607.0,TSMC,AMD,10390.0,5196.0,324.7,0.204
21,NVIDIA GeForce RTX 3060 Max-Q,GPU,2021-01-12,8.0,60.0,276.0,13250.0,817.0,Samsung,NVIDIA,9846.0,9846.0,153.8,3.78
22,AMD Radeon RX 580,GPU,2017-04-18,14.0,185.0,232.0,5700.0,1257.0,GF,AMD,6175.0,6175.0,385.9,0.966
23,NVIDIA GeForce GTX 1060 6 GB,GPU,2016-07-19,16.0,120.0,200.0,4400.0,1506.0,TSMC,NVIDIA,68.36,4375.0,136.7,4.654
24,NVIDIA GeForce RTX 2060 SUPER,GPU,2019-07-09,12.0,175.0,445.0,10800.0,1470.0,TSMC,NVIDIA,14360.0,7181.0,224.4,1.4
25,AMD Radeon RX 580 2048SP,GPU,2018-10-15,14.0,150.0,232.0,5700.0,1168.0,GF,AMD,5259.0,5259.0,328.7,0.36
26,AMD Radeon Graphics 448SP,GPU,2020-01-06,7.0,15.0,156.0,9800.0,400.0,TSMC,AMD,2867.0,1434.0,89.6,0.392
27,NVIDIA GeForce GTX 1650,GPU,2019-04-23,12.0,75.0,200.0,4700.0,1485.0,TSMC,NVIDIA,5967.0,2984.0,93.24,4.898
28,AMD Radeon RX 6900 XT,GPU,2020-10-28,7.0,300.0,520.0,26800.0,1825.0,TSMC,AMD,46080.0,23040.0,1440.0,0.224
29,NVIDIA GeForce GTX 1660 SUPER,GPU,2019-10-29,12.0,125.0,284.0,6600.0,1530.0,TSMC,NVIDIA,10050.0,5027.0,157.1,2.496
30,NVIDIA GeForce GTX 1050,GPU,2016-10-25,14.0,75.0,132.0,3300.0,1354.0,Samsung,NVIDIA,29.1,1862.0,58.2,1.566
31,NVIDIA GeForce GTX 1080 Ti,GPU,2017-03-10,16.0,250.0,471.0,11800.0,1481.0,TSMC,NVIDIA,177.2,11340.0,354.4,0.592
32,NVIDIA GeForce RTX 3060,GPU,2021-01-12,8.0,170.0,276.0,13250.0,1320.0,Samsung,NVIDIA,12740.0,12740.0,199.0,6.136
33,NVIDIA GeForce RTX 2070 SUPER,GPU,2019-07-09,12.0,215.0,545.0,13600.0,1605.0,TSMC,NVIDIA,18120.0,9062.0,283.2,1.408
34,NVIDIA GeForce RTX 2080,GPU,2018-09-20,12.0,215.0,545.0,13600.0,1515.0,TSMC,NVIDIA,20140.0,10070.0,314.6,0.486
35,NVIDIA GeForce GTX 1070,GPU,2016-06-10,16.0,150.0,314.0,7200.0,1506.0,TSMC,NVIDIA,101.0,6463.0,202.0,1.448
36,NVIDIA GeForce RTX 3080,GPU,2020-09-01,8.0,320.0,628.0,28300.0,1440.0,Samsung,NVIDIA,29770.0,29770.0,465.1,2.258
37,NVIDIA GeForce GTX 1660,GPU,2019-03-14,12.0,120.0,284.0,6600.0,1530.0,TSMC,NVIDIA,10050.0,5027.0,157.1,1.794
38,NVIDIA GeForce GTX 1660 Ti,GPU,2019-02-22,12.0,120.0,284.0,6600.0,1500.0,TSMC,NVIDIA,10870.0,5437.0,169.9,1.924
39,NVIDIA GeForce GTX 1650 SUPER,GPU,2019-11-22,12.0,100.0,284.0,6600.0,1530.0,TSMC,NVIDIA,8832.0,4416.0,138.0,0.61
40,NVIDIA GeForce RTX 3060 Ti,GPU,2020-12-01,8.0,200.0,392.0,17400.0,1410.0,Samsung,NVIDIA,16200.0,16200.0,253.1,3.874
